sex,occupation,00,10,20,30,40,50,60,70,80
Male,fulltime,0,9600,154105,254431,332474,292561,245616,60612,11200
Male,healthcare,0,0,1495,2469,3226,2839,2384,588,0
Male,parttime,0,800,1900,2000,2800,800,9700,12000,1900
Male,student,206925,172275,53600,900,300,0,0,0,0
Male,housewife,0,900,2800,3400,3400,5700,19900,26700,24900
Male,nothing,0,3600,17100,25100,26100,24200,116400,183700,142800
Female,fulltime,0,8900,131026,131301,166736,144303,92845,18862,2000
Female,healthcare,0,0,12074,12099,15364,13297,8555,1738,0
Female,parttime,0,200,17600,65500,108300,95500,79500,23600,8000
Female,student,198606,168502,33300,1800,700,300,200,200,0
Female,housewife,0,1100,26800,74100,79400,83900,218300,243800,142200
Female,nothing,0,1500,11000,12500,12300,17600,45400,81400,177300
